accession_number,category,go_mapping,hierarchy,id
KW-1179,Biological process,GO:0075713; establishment of integrated proviral latency, Virus entry into host cell; Viral genome integration,Viral genome integration
KW-0231,Biological process,GO:0019072; viral genome packaging, Viral release from host cell; Viral genome packaging,Viral genome packaging
KW-0899,Biological process,GO:0030683; evasion or tolerance by virus of host immune response, Host-virus interaction; Viral immunoevasion,Viral immunoevasion
KW-1182,Molecular function,GO:0051259; protein complex oligomerization, Ion channel; Viral ion channel,Viral ion channel
KW-1251,Biological process,GO:0019042; viral latency, Viral latency,Viral latency
KW-1276,Biological process,, Viral latency; Viral latency initiation and maintenance,Viral latency initiation and maintenance
KW-1243,Molecular function,"GO:0099001; viral genome ejection through host cell envelope, long flexible tail mechanism", Viral long flexible tail ejection system,Viral long flexible tail ejection system
KW-0468,Cellular component,GO:0039660; structural constituent of virion, Virion; Viral matrix protein,Viral matrix protein
KW-0916,Molecular function,"GO:0046740; transport of virus in host, cell to cell", Viral movement protein,Viral movement protein
KW-0543,Molecular function,GO:0019013; viral nucleocapsid, Viral nucleoprotein,Viral nucleoprotein
KW-0842,Cellular component,GO:0039679; viral occlusion body, Viral occlusion body,Viral occlusion body
KW-1162,Biological process,GO:0046718; viral entry into host cell, Virus entry into host cell; Viral penetration into host cytoplasm,Viral penetration into host cytoplasm
KW-1241,Biological process,GO:0039667; viral entry into host cell via pilus retraction, Virus entry into host cell; Viral penetration into host cytoplasm; Viral penetration into host cytoplasm via pilus retraction,Viral penetration into host cytoplasm via pilus retraction
KW-1163,Biological process,GO:0075732; viral penetration into host nucleus, Virus entry into host cell; Viral penetration into host nucleus,Viral penetration into host nucleus
KW-1174,Biological process,GO:0039664; lysis of host organelle involved in viral entry into host cell, Virus entry into host cell; Viral penetration into host cytoplasm; Viral penetration via lysis of host organellar membrane,Viral penetration via lysis of host organellar membrane
KW-1173,Biological process,GO:0099008; viral entry via permeabilization of inner membrane, Virus entry into host cell; Viral penetration into host cytoplasm; Viral penetration via permeabilization of host membrane,Viral penetration via permeabilization of host membrane
KW-1181,Biological process,GO:0039700; fusion of viral membrane with host outer nuclear membrane, Viral release from host cell; Viral primary envelope fusion with host outer nuclear membrane,Viral primary envelope fusion with host outer nuclear membrane
KW-1272,Biological process,GO:0019046; release from viral latency, Viral reactivation from latency,Viral reactivation from latency
KW-1264,Biological process,GO:0098678; viral tropism switching, Virus entry into host cell; Viral receptor tropism switching,Viral receptor tropism switching
KW-1188,Biological process,GO:0019076; viral release from host cell, Viral release from host cell,Viral release from host cell
KW-0693,Biological process,GO:0039694; viral RNA genome replication, Viral RNA replication,Viral RNA replication
KW-1244,Molecular function,"GO:0099002; viral genome ejection through host cell envelope, short tail mechanism", Viral short tail ejection system,Viral short tail ejection system
KW-1245,Biological process,GO:0098003; viral tail assembly, Viral release from host cell; Viral tail assembly,Viral tail assembly
KW-1246,Biological process,GO:0098004; virus tail fiber assembly, Viral release from host cell; Viral tail assembly; Viral tail fiber assembly,Viral tail fiber assembly
KW-1230,Cellular component,"GO:0098024; virus tail, fiber", Virion; Viral tail protein; Viral tail fiber protein,Viral tail fiber protein
KW-1227,Cellular component,GO:0098015; virus tail, Virion; Viral tail protein,Viral tail protein
KW-1229,Cellular component,"GO:0098027; virus tail, sheath", Viral contractile tail ejection system; Viral tail sheath protein,Viral tail sheath protein
KW-1228,Cellular component,"GO:0098026; virus tail, tube", Virion; Viral tail protein; Viral tail tube protein,Viral tail tube protein
KW-1195,Biological process,GO:0019083; viral transcription, Viral transcription,Viral transcription
KW-0946,Cellular component,GO:0019012; virion, Virion,Virion
KW-0917,Biological process,GO:0019075; virus maturation, Viral release from host cell; Virion maturation,Virion maturation
KW-0920,Cellular component,GO:0019033; viral tegument, Virion; Virion tegument,Virion tegument
KW-0843,Biological process,GO:0009405; pathogenesis, Virulence,Virulence
KW-1164,Biological process,GO:0075509; endocytosis involved in viral entry into host cell, Virus entry into host cell; Viral penetration into host cytoplasm; Virus endocytosis by host,Virus endocytosis by host
KW-1160,Biological process,GO:0046718; viral entry into host cell, Virus entry into host cell,Virus entry into host cell
KW-0844,Biological process,GO:0007601; visual perception, Sensory transduction; Vision,Vision
KW-0845,Ligand,GO:0016918; retinal binding, Vitamin A,Vitamin A
KW-0847,Ligand,GO:0031418; L-ascorbic acid binding, Vitamin C,Vitamin C
KW-0848,Ligand,GO:0005499; vitamin D binding, Vitamin D,Vitamin D
KW-0850,Cellular component,GO:0034361; very-low-density lipoprotein particle, VLDL,VLDL
KW-1218,Molecular function,, Toxin; Ion channel impairing toxin; Calcium channel impairing toxin; Voltage-gated calcium channel impairing toxin,Voltage-gated calcium channel impairing toxin
KW-0851,Molecular function,GO:0034765; regulation of ion transmembrane transport, Ion channel; Voltage-gated channel,Voltage-gated channel
KW-0870,Molecular function,GO:0019869; chloride channel inhibitor activity, Toxin; Ion channel impairing toxin; Chloride channel impairing toxin; Voltage-gated chloride channel impairing toxin,Voltage-gated chloride channel impairing toxin
KW-1220,Molecular function,, Toxin; Ion channel impairing toxin; Potassium channel impairing toxin; Voltage-gated potassium channel impairing toxin,Voltage-gated potassium channel impairing toxin
KW-0738,Molecular function,GO:0019871; sodium channel inhibitor activity, Toxin; Ion channel impairing toxin; Voltage-gated sodium channel impairing toxin,Voltage-gated sodium channel impairing toxin
KW-0852,Disease,, von Willebrand disease,von Willebrand disease
KW-0897,Disease,, Deafness; Waardenburg syndrome,Waardenburg syndrome
KW-0853,Domain,, WD repeat,WD repeat
KW-0855,Disease,, Whooping cough,Whooping cough
KW-0856,Disease,, Williams-Beuren syndrome,Williams-Beuren syndrome
KW-0879,Biological process,GO:0016055; Wnt signaling pathway, Wnt signaling pathway,Wnt signaling pathway
KW-0857,Disease,, Xeroderma pigmentosum,Xeroderma pigmentosum
KW-0858,Biological process,GO:0045493; xylan catabolic process, Carbohydrate metabolism; Polysaccharide degradation; Xylan degradation,Xylan degradation
KW-0859,Biological process,GO:0042732; D-xylose metabolic process, Carbohydrate metabolism; Xylose metabolism,Xylose metabolism
KW-0861,Disease,, Peroxisome biogenesis disorder; Zellweger syndrome,Zellweger syndrome
KW-0862,Ligand,, Zinc,Zinc
KW-0864,Biological process,GO:0006829; zinc ion transport, Zinc; Zinc transport,Zinc transport
KW-0863,Domain,, Zinc-finger,Zinc-finger
KW-0865,PTM,, Zymogen,Zymogen
